entity,label,count
2,CARDINAL,39
1,CARDINAL,23
3,CARDINAL,22
4,CARDINAL,13
6,CARDINAL,9
1949 10 1949,DATE,8
one,CARDINAL,7
5,CARDINAL,6
power reserve bank,ORG,6
section 5,LAW,6
thirty day,DATE,5
26,CARDINAL,4
2016,DATE,4
1956 1 1956,DATE,4
7,CARDINAL,4
india,GPE,4
first,ORDINAL,4
12,CARDINAL,3
section 12,LAW,3
three,CARDINAL,3
13,CARDINAL,3
10,CARDINAL,3
1934 2 1934,DATE,3
23,CARDINAL,3
22,CARDINAL,3
8,CARDINAL,3
2007,DATE,3
14,CARDINAL,3
24,CARDINAL,3
21,CARDINAL,3
section 4,LAW,2
32 act,QUANTITY,2
31 2016,DATE,2
two week,DATE,2
2017,DATE,2
new bank state bank india subsidiary bank,ORG,2
second,ORDINAL,2
section 30,LAW,2
section 2,LAW,2
1973 2 1974,DATE,2
15,CARDINAL,2
18 2015 2,DATE,2
17,CARDINAL,2
18 2023 2,DATE,2
20,CARDINAL,2
16,CARDINAL,2
2013,DATE,2
2013 18,DATE,2
19,CARDINAL,2
18,CARDINAL,2
defaulter reserve bank,ORG,2
33,CARDINAL,2
six month,DATE,2
36,CARDINAL,2
five,CARDINAL,2
37,CARDINAL,2
28,CARDINAL,2
29,CARDINAL,2
ten year,DATE,2
253,CARDINAL,2
25,CARDINAL,2
ninth,ORDINAL,2
2019,DATE,2
gazette,PERSON,2
two,CARDINAL,2
30,CARDINAL,2
august 2008,DATE,2
9,CARDINAL,2
1 3,CARDINAL,2
two year,DATE,2
chapter ii,LAW,2
1 sub act,QUANTITY,2
2013 18 2013 1or,DATE,2
3or,ORDINAL,2
38,CARDINAL,2
162015 11,DATE,1
15112016 4,DATE,1
152,CARDINAL,1
153,CARDINAL,1
16 5 reserve bank,MONEY,1
2015 18,DATE,1
162015 3,DATE,1
2 definitions1,QUANTITY,1
2015,DATE,1
4 wef 162015 3,DATE,1
15112016 2,DATE,1
34,CARDINAL,1
162015 4,DATE,1
18 2015 5 wef 162015 2,DATE,1
1112019 9 13,DATE,1
110a,PRODUCT,1
1102020 17,DATE,1
11,CARDINAL,1
10a,DATE,1
1 reserve,MONEY,1
134a,CARDINAL,1
18 2015,DATE,1
18 2015 4,DATE,1
34b,CARDINAL,1
2 chapter,QUANTITY,1
2 3or,DATE,1
2 3,CARDINAL,1
2 1934,QUANTITY,1
1 12th,DATE,1
51 2007 20th december 2007,DATE,1
35,CARDINAL,1
3explanation,CARDINAL,1
1961 43,DATE,1
2penalties1,CARDINAL,1
2explanation 1for,CARDINAL,1
2da,ORDINAL,1
2chapter ii,QUANTITY,1
28 2005,DATE,1
27,CARDINAL,1
30 34,QUANTITY,1
23a,CARDINAL,1
2212024 4 sub,DATE,1
2212024 3 2,DATE,1
2212024 15,DATE,1
2212024,DATE,1
22012024 2,DATE,1
204,CARDINAL,1
234b,CARDINAL,1
2032e date 12th,DATE,1
30 4,CARDINAL,1
33 second,TIME,1
8 2,CARDINAL,1
50,CARDINAL,1
5 1rtrade,CARDINAL,1
45 1860,DATE,1
45,CARDINAL,1
31,CARDINAL,1
423a,CARDINAL,1
3ii 2,DATE,1
1under,CARDINAL,1
authorisation issue reserve bank provision act,ORG,1
1961 11,DATE,1
1949 5,DATE,1
reserve bank india constitute reserve bank india act,ORG,1
period stipulate reserve bank,ORG,1
notice issue reserve bank,ORG,1
objection reserve bank,ORG,1
indian,NORP,1
section 31,LAW,1
section 30 27,LAW,1
fifteen day,DATE,1
system1,NORP,1
bank reserve bank,ORG,1
standards1 reserve bank,ORG,1
six month date,DATE,1
board reserve bank,ORG,1
central board reserve bank,ORG,1
section 8,LAW,1
chapter v right duty system,ORG,1
chapter xvii,LAW,1
clearing house,ORG,1
commencement1,ORG,1
section 7,LAW,1
penalty1,GPE,1
confidential1,PERSON,1
section 56,LAW,1
earlier later date early date,DATE,1
customers1 reserve bank,ORG,1
confidential1,GPE,1
difficulties1,ORG,1
new clearing house bank,ORG,1
ten,CARDINAL,1
may reserve bank,ORG,1
section 3,LAW,1
1949 10,DATE,1
1944 18,DATE,1
1944,DATE,1
19342 1934,DATE,1
1934,DATE,1
189118 1991,DATE,1
1881 26 1881,DATE,1
authorisation issue act reserve bank,ORG,1
authorisation issue reserve bank,ORG,1
34a,CARDINAL,1
authorisation1 reserve bank,ORG,1
three year,DATE,1
section 269su,LAW,1
l reserve bank,ORG,1
forego reserve bank,ORG,1
section 25,LAW,1
gazette appoint different,PERSON,1
government1,ORG,1
twenty five thousand,CARDINAL,1
section 1,LAW,1
india act,EVENT,1
time reserve bank,ORG,1
fifty,CARDINAL,1
sec,ORG,1
issuer1,NORP,1
reserve bankchairperson,PERSON,1
vicechairperson board,ORG,1
