entity,label,count
1,CARDINAL,171
2,CARDINAL,102
3,CARDINAL,71
23122015,DATE,56
european union,ORG,40
4,CARDINAL,39
european union l,ORG,36
5,CARDINAL,32
first,ORDINAL,32
10932010,DATE,28
european,NORP,27
one,CARDINAL,24
13,CARDINAL,18
6,CARDINAL,17
european parliament council,ORG,16
7,CARDINAL,13
european union 23122015,ORG,13
january 2018,DATE,12
8,CARDINAL,12
article 2,LAW,10
20,CARDINAL,10
5752013,CARDINAL,10
23122015,CARDINAL,9
26,CARDINAL,9
20152366,CARDINAL,9
25,CARDINAL,9
article 52,LAW,9
article 5,LAW,8
200764ec,ORDINAL,8
third,ORDINAL,8
november 2015,DATE,7
35,CARDINAL,7
annual,DATE,7
article 11,LAW,7
second,ORDINAL,7
article 3,LAW,6
2015751,DATE,6
2015849,CARDINAL,6
13 july 2018,DATE,6
2 3,CARDINAL,6
article 16,LAW,6
article 93,LAW,6
article 4,LAW,6
2015849,DATE,6
ec,ORG,5
2015847,DATE,5
12,CARDINAL,5
16,CARDINAL,5
article 10 14,LAW,5
36,CARDINAL,5
article 51,LAW,5
14,CARDINAL,5
12 month,DATE,5
article 78,LAW,5
article 45,LAW,5
two,CARDINAL,5
45,CARDINAL,4
181,CARDINAL,4
38,CARDINAL,4
44,CARDINAL,4
5 million,CARDINAL,4
9,CARDINAL,4
article 31,LAW,4
50,CARDINAL,4
1 3,CARDINAL,4
30,CARDINAL,4
article 32,LAW,4
451,CARDINAL,4
46,CARDINAL,4
11,CARDINAL,4
32,CARDINAL,4
article 101,LAW,4
28,CARDINAL,4
201336eu european parliament council,ORG,4
3 month,DATE,4
article 83,LAW,4
article 71,LAW,4
june 2013,DATE,4
29,CARDINAL,4
24,CARDINAL,4
17,CARDINAL,4
150,CARDINAL,4
euro,ORG,4
article 89,LAW,4
2602012,CARDINAL,4
article 87,LAW,4
23,CARDINAL,4
article 54,LAW,3
56,CARDINAL,3
article 61,LAW,3
article 981,LAW,3
article 64,LAW,3
73,CARDINAL,3
441,CARDINAL,3
69,CARDINAL,3
1 2,CARDINAL,3
article 73,LAW,3
january 2017,DATE,3
chapter 1,LAW,3
chapter 2,LAW,3
511,CARDINAL,3
25 million,CARDINAL,3
6 month,DATE,3
article 63,LAW,3
111,CARDINAL,3
monthly,DATE,3
200265ec,ORG,3
10,CARDINAL,3
47,CARDINAL,3
22,CARDINAL,3
21,CARDINAL,3
article 76,LAW,3
623,CARDINAL,3
20152366,DATE,3
37,CARDINAL,3
article 9,LAW,3
10932010 5,DATE,3
2 month,DATE,3
article 15,LAW,3
article 41,LAW,3
48,CARDINAL,3
1 month,DATE,3
201183eu european parliament council,ORG,3
1 5,CARDINAL,3
article 80,LAW,3
110,CARDINAL,3
14 15,CARDINAL,2
fourth,ORDINAL,2
83,CARDINAL,2
199944ec european parliament council repeal council,ORG,2
1day,DATE,2
242,CARDINAL,2
article 10 regulation eu,LAW,2
118,CARDINAL,2
116,CARDINAL,2
80,CARDINAL,2
200265ec,ORDINAL,2
200221ec european parliament council,ORG,2
18,CARDINAL,2
17812006 oj l,DATE,2
89,CARDINAL,2
201311eu european parliament council,ORG,2
106,CARDINAL,2
9313eec,CARDINAL,2
article 102,LAW,2
200670ec,GPE,2
200764ec 13 january 2018,DATE,2
article 109,LAW,2
200764ec european parliament council,ORG,2
200848ec european parliament council,ORG,2
european parliament council commission,ORG,2
92,CARDINAL,2
201334eu european parliament council,ORG,2
78660eec,CARDINAL,2
108,CARDINAL,2
85577eec,CARDINAL,2
84,CARDINAL,2
200529ec european parliament council,ORG,2
2015,DATE,2
9546ec european parliament council,ORG,2
202,CARDINAL,2
95,CARDINAL,2
105,CARDINAL,2
15,CARDINAL,2
article 104,LAW,2
15 business day,DATE,2
103,CARDINAL,2
discrimi,ORG,2
19 march 1931,DATE,2
chapter 3,LAW,2
222,CARDINAL,2
223,CARDINAL,2
152,CARDINAL,2
100 million,CARDINAL,2
september 2009,DATE,2
2006112ec,ORG,2
102,CARDINAL,2
10 million,CARDINAL,2
732,CARDINAL,2
chapter ii regulation,LAW,2
98,CARDINAL,2
year,DATE,2
1 13,DATE,2
article 98,LAW,2
981,CARDINAL,2
article 37,LAW,2
1 6,CARDINAL,2
chapter 4,LAW,2
9826ec european parliament council,ORG,2
late end business day,DATE,2
23122015 1,DATE,2
ecb national central bank,ORG,2
87,CARDINAL,2
article 10,LAW,2
14 15,DATE,2
9242009,CARDINAL,2
article 43,LAW,2
article 13 article,LAW,2
691,CARDINAL,2
article 91,LAW,2
article 42,LAW,2
27,CARDINAL,2
338,CARDINAL,2
article 69,LAW,2
40,CARDINAL,2
article 75,LAW,2
article 74,LAW,2
article 21 article,LAW,2
article 73 89,LAW,2
article 701,LAW,2
