entity,label,count
1,CARDINAL,1514
sec,ORG,1224
2,CARDINAL,1203
anorris dsk5r6shh1prod,PERSON,849
124,CARDINAL,848
3,CARDINAL,587
00203,CARDINAL,568
21 2010,DATE,562
12,CARDINAL,475
epublawpubl203111 gpo1,ORG,436
6581,DATE,433
6581,CARDINAL,403
4,CARDINAL,388
5,CARDINAL,351
15,CARDINAL,335
2010,DATE,301
6580,DATE,281
nov 24 2008,DATE,275
7,CARDINAL,231
24 2008,DATE,222
epublawpubl203111,PERSON,205
epublawpubl203111 apps06,PERSON,200
02 2010,DATE,189
6,CARDINAL,165
00203,DATE,148
04 2010,DATE,146
congress,ORG,114
united state,ORG,110
annual,DATE,108
19 2010,DATE,107
united state code,ORG,102
0049,DATE,100
26 2010,DATE,100
29 2010,DATE,99
28 2010,DATE,99
00000,CARDINAL,94
2117,DATE,91
2228,DATE,88
03 2010,DATE,88
8,CARDINAL,82
24 2008 1208,DATE,76
1934 15,DATE,73
nov 24 2008 1040,DATE,71
first,ORDINAL,68
9,CARDINAL,60
11,CARDINAL,59
1934,DATE,58
senate,ORG,55
nov 24 2008 1215,DATE,55
third,ORDINAL,50
1940,DATE,49
1934,CARDINAL,49
10,CARDINAL,46
one,CARDINAL,46
1956 12,DATE,43
24 2008 1215,DATE,43
1a,CARDINAL,40
fiscal year,DATE,39
cor,ORG,39
1940 15,DATE,39
nov 24 2008 0341,DATE,38
1970,DATE,35
informa,NORP,35
1 2,CARDINAL,34
later 1 year,DATE,33
federal reserve bank,ORG,32
section 3,LAW,31
second,ORDINAL,31
fed,ORG,31
18,CARDINAL,31
13,CARDINAL,30
23,CARDINAL,30
insert,PERSON,29
annually,DATE,29
1934 15 usc 78a,DATE,28
0410,DATE,28
08 2010,DATE,27
1040,DATE,27
later 180 day,DATE,27
federal deposit insurance act,ORG,26
31,CARDINAL,26
monthly,DATE,25
daily,DATE,25
17,CARDINAL,25
federal reserve,ORG,24
section 8,LAW,23
14,CARDINAL,23
1b,CARDINAL,22
2a,CARDINAL,22
later 30 day,DATE,22
1974,DATE,22
60 day,DATE,21
552,CARDINAL,21
42,CARDINAL,21
129,CARDINAL,21
1 year,DATE,21
seq,ORG,21
1year,CARDINAL,20
later 18 month,DATE,20
78aaa,CARDINAL,20
16,CARDINAL,20
3a,CARDINAL,20
2008,DATE,20
nov 24 2008 1208,DATE,19
30 day,DATE,19
2b,CARDINAL,19
90 day,DATE,19
1933 15,DATE,19
nov 24 2008 0410,DATE,18
nec,ORG,18
1956,DATE,18
later 90 day,DATE,18
50000000000,CARDINAL,18
24,CARDINAL,17
united state court,ORG,17
american,NORP,17
1841,DATE,17
1 3,CARDINAL,17
129c,CARDINAL,16
federal deposit insurance,ORG,16
10000000000,CARDINAL,16
3q,CARDINAL,15
1986,DATE,15
30,CARDINAL,15
2009,DATE,15
113,CARDINAL,15
treasury,ORG,15
4k,CARDINAL,14
5 year,DATE,14
2year,CARDINAL,14
section 1a commodity exchange,LAW,14
1934 15 usc,DATE,14
section 1,LAW,14
committee bank housing urban affair senate committee financial service house,ORG,14
920,CARDINAL,13
section 2,LAW,13
2002 15,DATE,13
1813,DATE,13
10 percent,PERCENT,13
12 month,DATE,13
later 1 year date,DATE,13
later 6 month,DATE,12
section 5,LAW,12
28,CARDINAL,12
21,CARDINAL,12
federal home loan bank,ORG,12
6b,CARDINAL,12
1933,DATE,12
chapter 7,LAW,12
1978 12,DATE,12
semiannual,DATE,12
1818,DATE,12
corpora,NORP,12
553,CARDINAL,12
6582,CARDINAL,11
section 4,LAW,11
year,DATE,11
4a,CARDINAL,11
1 4,CARDINAL,11
203,CARDINAL,11
federal trade commission,ORG,11
1992,DATE,11
